Seed,Test_R2,Test_MAE,KFold_R2,KFold_MAE,LOOCV_R2,LOOCV_MAE
42,0.751774788217678,0.3836374120712281,-0.8081960642370294,0.6463081028726366,0.5060110948982992,0.4154912349654407
50,0.3131175254398363,0.374681100845337,-0.8798089917246501,0.6980090671115451,0.5151074422168183,0.4127076145110092
100,0.028368498912810902,0.40225928688049317,-1.4612278482339387,0.7416636016633777,0.5022832629177024,0.442655760873624
123,0.06864421002940946,0.6515176954269409,-0.8710313363261497,0.6708275614844428,0.4067199698163625,0.45009142984219686
200,0.4529202138233456,0.37922346019744874,-1.0612555374329191,0.6924550816747878,0.44210759835696445,0.4325156615032413
250,0.7232375296303544,0.3678412218093872,-0.8709931461438702,0.6904621050092908,0.4400954849552292,0.46866112375647073
300,0.0290209138829588,0.3851631469726562,-0.770920142089242,0.6525370600488449,0.5341648315779524,0.45186473489776857
350,0.15092030397603318,0.6100618600845337,-0.9027953309306385,0.6889629446135626,0.5201494954817245,0.4455103980816476
400,0.7409721137660223,0.3814303340911866,-1.0793300268974924,0.7246946247418723,0.41641667102059887,0.43605155130712
500,0.30357540680148176,0.7974624662399292,-0.8161778141001839,0.6879317659801907,0.4008217793216402,0.4532247419279765
