Method,Mean R²,Std R²,Mean MAE,Mean RMSE
5-Fold TS (Gap=5),-5.611782126814694,8.02449922584527,0.9271745473146439,1.1513667280276472
Walk-Forward,-0.7126820250484259,0.6383011010669584,0.7572567615509034,0.9213676882729235
Grouped by Site,0.3930118838980078,0.342842964087716,0.3840558283702046,0.6044362268511224
Purged TS CV,-5.611782126814694,8.02449922584527,0.9271745473146439,1.1513667280276472
